LANGUAGE, English,
STRS_hints_vehicle_information,VEHICLE INFORMATION:\n\nName: %4\nType: %1\ndirection: %2°\nHeight ASL: %3m\nDriver: %5\nFree Cargo: %6\nlength: %7m,,
STR_GLOBAL_CHANNEL,Global channel,,
STR_SIDE_CHANNEL,Side channel,,
STRS_kopfgeld_notself,You cannot set yourself unwanted.,,
STRS_player_not_ingame,Error: Player not in-game.,,
STRS_kopfgeld_entfernt,The bounty of %1 was removed. He is no longer wanted.,,
STRS_kopfgeld_nokopfgeld,You currently can't set %1 wanted.,,
STRS_inventory_checknohandszip,The player does not have his hands up and is not stunned!,,
STRS_inv_buylicense_alreadytrue,You already have that License.,,
STRS_inv_buylicense_alreadyfalse,You do not have that License.,,
STRS_inv_buylicense_losttraining,You lost your %1.,,
STRS_inv_storage_spam,You are still taking/dropping items... wait a few seconds.,,
STRS_inv_buyitems_get_zuschwer,Your weight reached the maximum capacity. You are not able to carry more objects.,,
STRS_inv_storage_took,You took %1 of the Item.,,
STRS_inv_storage_toomuch,There are not that many items in the storage.,,
STRS_inv_storage_dropnotallowed,Not allowed to drop that item in a factory.,,
STRS_inv_storage_dropunablesomuch,You are not able to drop that much.,,
STRS_inv_storage_deleted,%1 units of the item deleted.,,
STRS_inv_storage_dropped,You dropped %1 of the item.,,
STRS_inv_storage_cannotdropsomuch,You cannot drop that much here.,,
STRS_inv_item_druguse_toomany,You can't use that many drugs at the same time.,,
STRS_inv_item_druguse_ende,The effects of the drugs diminish.,,
STRS_bank_dialoge_robbsperre,You robbed the bank a few minutes ago. You can not use it for %1 minutes after you robbed it.,,
STRS_bank_dialog_inventargeld,Money in your Inventory: $%1,,
STRS_bank_dialoge_accountgeld,Money in your Account: $%1,,
STRS_bank_dialoge_tax,Incl. Taxes:,,
STRS_bail_self,You paid $%1 bail.,,
STRS_bail_addbail,You got $%1 because Civ%2 paid bail.,,
STRS_bail_payed,%1 paid $%2 in bail,,
STRS_bail_cantpay,You do not have that much money.,,
STRS_bank_rob_noweapon,You can't rob the bank without being armed.,,
STRS_bank_rob_info,You decided to rob the bank. Stay here until you get the money and then get the hell outta here!,,
STRS_bank_rob_success,You robbed the bank successfully. Escape before the cops catch you!,,
STRS_bank_rob_titlemsg,!! ATTENTION !! THE BANK IS BEING ROBBED !! ATTENTION !!,,
STRS_bank_rob_allmoneylost,The bank has been robbed. You lost all the money on your account!,,
STRS_bank_rob_somemoneylost,The bank has been robbed. You lost $%1 and have $%2 left on your account.,,
STRS_bank_rob_lostnomoney,Because of your bank insurance you lost no money but you lost one bank insurance.,,
STRS_addaction_vehicleinfo,Vehicle information,,
STRS_inv_buyitems_maxgewicht,Max weight reached. You can not carry any more items.,,
STRS_civmenucheck_beendisarmed,You have been disarmed.,,
STRS_civmenu_didnotpayticket,%1 did not have enough money to pay the ticket of $%2,,
STRS_civmenucheck_ticketself,You paid a ticket of $%1.,,
STRS_civmenu_didpayticket,%1 paid the ticket of $%2.,,
STRS_civmenu_didpaynothing,%1 chose not to pay the ticket.,,
STRS_civmenu_youdidnotpay,You did not pay the ticket.,,
STRS_civmenu_hasdrugs,"%1 had drugs, you removed them. You should jail %1 for %2 minutes or give him a ticket of $%3. ",,
STRS_civmenucheck_haddrugs,%1 had $%2 worth of drugs!,,
STRS_civmenucheck_beendrugsearched,Your drugs have been removed.,,
STRS_civmenu_hasnodrugs,The civ does not have any drugs.,,
STRS_civmenucheck_arrested_global,%1 was arrested by %2 for %3 minute(s),,
STRS_civmenucheck_arrested_self,You have been arrested for %1 Minutes. After that you will be teleported out. You can board a chopper to escape.,,
STRS_civmenucheck_free_self,You are free now. Don't do anything wrong or you will be arrested again.,,
STRS_civmenucheck_free_global,%1 has served his time in jail and is free again,,
STRS_civmenucheck_breakout,%1 has escaped from jail,,
STRS_civmenu_distance,You are either too far away from the Civ or he is dead,,
STRS_civmenu_copnotarmed,You are not armed. You need a weapon for this action.,,
STRS_civmenu_disarm_notarmed,The player is not armed.,,
STRS_inv_no_valid_number,The value is not a valid number.,,
STRS_civmenu_ticket_globalchat,%3 gave a ticket of $%2 to %1,,
STRS_civmenu_arrested,Arresting %1...,,
STRS_maxbank,You can't have more than $5000000 in your bank. Money has been removed.,,
STRS_maxmoney,You can't have more than $999999 in your inventory. Money has been removed.,,
STRS_addaction_trunk_see,View Trunk,,
STRS_addaction_trunk_check,Search Vehicle,,
STRS_camciv_nomoney,Civ cam has been removed.,,
STRS_civcam_wanted,You are watching %1. He is wanted.,,
STRS_civcam_notwanted,You are watching %1. He is not wanted.,,
STRS_switchedcopmarker,You turned cop-markers %1.,,
STRS_Off,off,,
STRS_On,on,,
STRS_cop_inprison,You are in prison for either team-killing cops or firing repeatedly in a restricted area.,,
STRS_cop_freeprison,You are free again .,,
STRS_wrong_input,Wrong Input. You are not allowed to use that character (%1).,,
STRS_inv_inventar_cannotdrop,You can not drop an object right now.,,
STRS_inv_inventar_weggeworfen,You dropped an item.,,
STRS_inv_inventar_drop_zuwenig,You don't have that many objects to drop.,,
STRS_inv_inventar_ablege_verbot,You are not allowed to drop this object.,,
STRS_inv_item_nahrung_verhungern,You are starving.,,
STRS_inv_item_nahrung_gegessen,You ate something and are %1/100 fed.,,
STRS_inv_buyitems_get_erhalten,You got %1 %2.,,
STRS_inv_not_ingame,Selected Player is not in-game.,,
STRS_inv_inventar_uebergabe_self,You can't give anything to yourself.,,
STRS_inv_inventar_uebergabe_distance,You have to be within at least 20 meters of the selected player.,,
STRS_inv_inventar_uebergabe_verbot,You must not give this Item to other players.,,
STRS_inv_inventar_uebergabe_zuwenig,You don't have enough to give away that many of the item.,,
STRS_give_minus_then,You can't give a minus amount.,,
STRS_inv_inventar_uebergabe_success_self,You gave %1 %2 units of %3.,,
STRS_inv_inventar_gotfromotherplayer,You got %1 %2 from %3.,,
STRS_inventar_hideout_wrongplace,You are too close to a city so you cannot build your hideout here.,,
STRS_inventar_bought_hideout,"%1, you built a Hideout here.",,
STRS_hideout_marker,Your Hideout,,
STRS_inv_item_waffe_noholster,You can't holster/unholster the weapon now,,
STRS_inv_item_waffe_noweapon,No weapon to hide.,,
STRS_inv_item_waffe_weaponHidden,Weapon hidden in Inventory. You can unholster it by using your inventory.,,
STRS_inv_item_waffe_weaponHiddenAlready,Weapon hidden in Inventory,,
STRS_inv_item_waffe_weaponTakenout,Sidearm Unholstered. Be careful. You might need to press F to select it.,,
STRS_inv_items_ignite_ignite_notincar,Not in a vehicle,,
STRS_inv_items_repair_notneeded,Your vehicle is not damaged,,
STRS_inv_items_ignite_ignite,The fuel is on fire!! GET OUT QUICKLY BEFORE IT EXPLODES!,,
STRS_inventar_impound_success,You have impounded this vehicle!,,
STRS_inventar_impound_gesehen,%1 has impounded vehicle (NAME: %2)!,,
STRS_dialogcivmenu_arrest,Arrest for %1 min(s),,
STRS_inv_cannotUseNow,You cannot use the inventory now.,,
STRS_inv_inventar_cannotuse,You cannot use this item.,,
STRS_inv_inventardialog_empty,Your inventory is empty.,,
STRS_inv_items_medikit_benutzung,Wait five seconds until you are healed.,,
STRS_inv_items_medikit_fertig,You are healed again.,,
STRS_inv_items_itemdeleted,%1 items deleted (Radius 10m).,,
STRS_inv_items_vehiclelock_locked,Vehicle locked.,,
STRS_inv_items_vehiclelock_unlocked,Vehicle unlocked.,,
STRS_inv_items_vehiclelock_closer,You have to be closer to your car!,,
STRS_inv_items_weggeworfen,You dropped the item.,,
STRS_inv_items_uebergabe_schluessel_success,You got key from another player. The Key is now on your Keychain.,,
STRS_inv_items_uebergabe_schluessel_success_self,You gave a copy of the Key for the Vehicle to the selected player.,,
STRS_handlerdeadpub_suicide,You committed suicide.,,
STRS_handlerdeadpub_civkilled,You killed %1! He wasn't wanted so you should pay $%2 to him in compensation.,,
STRS_handlerdeadpub_copkilledbycop,You Team-killed %1!,,
STRS_handlerdeadpub_copkilled,You killed %1! You are now wanted!,,
STRS_license_boat,Boat License,,
STRS_license_air,Pilots License,,
STRS_license_truck,Truck License,,
STRS_license_car,Drivers License,,
STRS_inventar_lockpick_already,you already own this vehicle.,,
STRS_inventar_lockpick_success,You got this vehicle!,,
STRS_inventar_lockpick_gesehen,%1 was seen stealing a vehicle (registration plate: %2)!,,
STRS_inventar_lockpick_noluck,The lockpick broke.,,
STRS_inventar_lockpick_zuweit,No vehicle close enough.,,
STRS_lotto_action,Buy Scratch Card,,
STRS_statdialog_licenselist,L I C E N S E S:,,
STRS_statdialog_laws,L A W S:,,
STRS_statdialog_taxes,T A X E S:,,
STRS_statdialog_playerlist,P L A Y E R S:,,
STRS_statdialog_inventarlist,I N V E N T O R Y:,,
STRS_statdialog_waffen,W E A P O N S:,,
STRS_statdialog_magazine,M A G A Z I N E S:,,
STRS_dialogandere_steuerdialog_itemsteuer,Item tax: %1 Percent,,
STRS_dialogandere_steuerdialog_fahrzeugsteuer,Vehicle tax: %1 Percent,,
STRS_dialogandere_steuerdialog_magazinsteuer,Weapon Magazine tax: %1 Percent,,
STRS_dialogandere_steuerdialog_waffesteuer,Weapon tax: %1 Percent,,
STRS_dialogandere_steuerdialog_banksteuer,Bank Transfer tax: %1 Percent,,
STRS_hints_ja,Yes,,
STRS_hints_nein,No,,
STRS_regierung_votedfor,You voted for %1. The result will be shown at the end of the current governors term.,,
STRS_regierung_nomajor,Currently no Governor has been elected. Go vote,,
STRS_regierung_majorstays,The old Governor has been re elected and stays in office.,,
STRS_mayor_new,%1 is now the new Governor! He won with %2 votes.,,
STRS_text_zu_lang,The entered text is too long.,,
STRS_gilde_gesetze_public,Law #%1 has been changed. This is the new Law: %2,,
STRS_verbotene_zone_teleport,You entered a prohibited area and have been teleported back to your respawn area.,,
STRS_functions_crimelog_msg1,Robbed the bank and stole $%1.,,
STRS_functions_crimelog_msg2,Stole money from another civ.,,
STRS_functions_crimelog_msg3,Killed another civ.,,
STRS_functions_crimelog_msg4,Killed another cop.,,
STRS_functions_crimelog_msg5,Was sent to prison.,,
STRS_functions_crimelog_msg6,Was released from prison.,,
STRS_functions_crimelog_msg7,Escaped from prison.,,
STRS_functions_crimelog_msg8,Has died.,,
STRS_functions_crimelog_msg9,Paid a ticket of %1.,,
STRS_functions_crimelog_msg10,Used a bomb.,,
STRS_functions_crimelog_msg11,Had a slave.,,
STRS_functions_crimelog_msg12,Speeding,,
STRS_functions_crimelog_msg13,Was seen stealing %1,,
STRS_functions_crimelog_msg14,Was seen attempting to steal,,
STRS_functions_crimelog_msg15,Is an Assassin,,
STRS_functions_crimelog_msg16,Was seen burglarizing,,
STRS_functions_crimelog_msg17,Was seen attempting to burgalize a house,,
STRS_inv_items_speed_car,You are not inside a vehicle.,,
STRS_inv_items_speed_no,You can't tune this car!,,
STRS_addaction_buy_gas,Fill up for $%1 per 10 litres,,
STRS_gasstation_bereits_getankt,This vehicle's fuel is already at 100%.,,
STRS_gasstation_tanken_money,You don't have enough money to refuel the vehicle completely.,,
STRS_gasstation_tanken_vclleft,Stay inside the car while you are refuelling it.,,
STRS_gasstation_tanken_vclmoved,You cancelled the Refuel-action by moving your vehicle.,,
STRS_gasstation_tanken_zwischenmsg,Fuel Status: %1 of 100. \n You refuelled 10 litres into your car. If you have enough,,
STRS_gasstation_tanken_finished,The vehicle's fuel is at 100% again!,,
STRS_inv_items_repair_refuel_notincar,Not in a vehicle,,
STRS_inv_items_repair_wrongvcl,You cannot repair this vehicle.,,
STRS_inventory_checknohands,The Civ does not have his hands up and is not stunned!,,
STRS_geld_countdown,%1 Minute(s) until next Paycheck.,,
STRS_geld_copmoneyadd,"%1, You earned $%2, the money has been transfered to your account.",,
STRS_geld_nowere,were not,,
STRS_geld_were,were,,
STRS_geld_civmoneyadd,"%1, you received a paycheck of $%2. The Money has been transferred to your bank account.",,
STRS_geld_paycheckdead,You missed a paycheck because you are dead.,,
STRS_not_copaction,You are not a cop and cannot use this action.,,
STRS_prison_notinprison,You cannot release this Civ because he is not in prison.,,
STRS_prison_freenow,The Civ is free now.,,
STRS_inv_shopdialog_itemshop,Your current Money: $%1,,
STRS_inv_shopdialog_money,,,
STRS_inv_actions_buy,Buy %1 ($%2),,
STRS_inv_buyitems_nolicense,You need a %1 to buy this.,,
STRS_inv_buyitems_nolicensecop,You need %1 to buy this.,,
STRS_inv_buyitems_notallowed,You are not allowed to buy this item.,,
STRS_inv_buyvehicles_store_in_use,This store is busy at the moment. Please try again later.,,
STRS_inv_shop_sold,You sold %1 %2 for $%3.,,
STRS_inv_buyitems_sell_notenough,You do not have enough items to sell.,,
STRS_inv_buyitems_verkauft,You sold %1 %2 for $%3.,,
STRS_inv_buyvehicles_noowner,You are not the owner of this vehicle.,,
STRS_inv_buyvehicles_destroyed,The vehicles is destroyed.,,
STRS_inv_buyitems_sell_toofar,The vehicle is too far away.,,
STRS_inv_shop_vehiclesold,You sold the vehicle for $%1.,,
STRS_inv_fabrik_dialogheader1,Take Items,,
STRS_inv_fabrik_dialogheader2,Store Items,,
STRS_inv_storagedialog_take,Take %1 Item(s) (%2kg),,
STRS_inv_storagedialog_drop,Drop %1 Item(s) (%2kg),,
STRS_inv_items_empty_refueled,You emptied the fuel,,
STRD_bank_description_title,Bank,,
STRD_bank_description_deposit_transfer,Deposit/Transfer,,
STRD_bank_description_selectplayer,Select player:,,
STRD_bank_description_steuern,Incl. Taxes:,,
STRD_bank_description_bank_withdraw,Withdraw,,
STRD_bank_description_submit,Submit,,
STRD_bank_description_cancel,Cancel,,
STRD_description_civmenu_header,Civ-menu,,
STRD_description_civmenu_disarm,Disarm,,
STRD_description_civmenu_drugs,Drug Search,,
STRD_description_civmenu_arrest,Arrest,,
STRD_description_civmenu_ticket,Ticket,,
STRD_description_cancel,Cancel,,
STRD_description_civmenu_heal,Check License,,
STRD_description_civmenu_inventar,Check Inventory,,
STRD_description_civmenu_steal,Rob Inventory,,
STRD_description_civmenu_ZipTie,Zip Tie/Release,,
STRS_inv_fac_dia_herstellen,M A N U F A C T U R E - I T E M S,,
STRD_inv_description_close,Close,,
STRD_inv_description_itemmenu_title,Buy Items,,
STRD_inv_description_buyitem_close,Close,,
STRD_inv_description_itemmenu_title2,Sell Items,,
STRD_inv_description_inventar_header,Inventory,,
STRD_inv_description_inventar_use,Use,,
STRD_inv_description_inventar_drop,Drop,,
STRD_inv_description_inventar_schluessel_uebergabe,Give to player,,
STRD_inv_description_inventar_item,Item:,,
STRD_inv_description_inventar_amount,Amount:,,
STRD_inv_description_inventar_addinfo,Additional Information:,,
STRD_inv_description_inventar_gewicht,Item Weight single/overall:,,
STRD_description_civcam_title,Chernarus Camera Systems,,
STRD_description_civcam_chooseciv,Choose Civ:,,
STRD_description_civcam_dauer,Duration:,,
STRD_description_civcam_cost,Cost:,,
STRD_description_civcam_submit,Watch him,,
STRD_description_wantedrelease_setwantedmenu,Set Wanted Menu,,
STRD_description_submit,Submit,,
STRD_description_wantedrelease_prisonrelease_title,Release menu,,
STRD_description_wantedrelease_submit,Set him free,,
STRD_description_wantedrelease_submit_unwanted,Set him unwanted,,
STRD_description_bail_pay,Pay bail,,
STRD_description_spielerliste_header,Stats,,
STRD_description_buyitem_close,Close,,
STRD_description_gildehauptmenu_header,Gangs,,
STRD_description_gildehauptmenu_button_join,Join Gang,,
STRD_description_gildehauptmenu_button_manage,Manage Gang,,
STRD_description_gildehauptmenu_button_leave,Leave Gang,,
STRD_description_gildehauptmenu_button_create,Create Gang,,
STRD_description_gildegruenden_header,Create a new Gang,,
STRD_description_gildegruenden_submit,Create!,,
STRD_description_gildegruenden_name,Gang Name:,,
STRD_description_gildegruenden_hinweis," ""Note: The Name MUST NOT contain quotes! Creation fee is $125,000. If you leave and rejoin the game you must rejoin the gang (there is no join fee). Gangs may only have 5 members.""",,
STRD_dialogandere_gesetze_header,Change laws (You have to choose a slot in the list below. It may be empty.),,
STRD_dialogandere_gesetze_submit,Change!,,
STRD_description_gildeverwalten_header,Manage Gang,,
STRD_description_gildeverwalten_rauswerfen_header,Kick Member,,
STRD_description_gildeverwalten_rauswerfen_submit,Kick!,,
STRD_description_gildeverwalten_sperren_header," ""Join allowed?""",,
STRD_description_gildeverwalten_sperren_submit," ""Update!""",,
STRD_janein_header,Please confirm,,
STRD_description_wahl_header,Election,,
STRD_description_wahl_submit,Elect,,
STRD_description_steuer_header,Change Taxes,,
STRD_description_steuer_submit,Change taxes!,,
STRD_cam_description_nvgon,NV on,,
STRD_cam_description_nvgoff,NV off,,
STRD_description_close,Close,,
STRD_lotto_title,Scratch Cards,,
STRD_lotto_buyticket,Buy Scratch Card,,
STRD_lotto_cancel,Cancel,,
STRM_mission_gruen_punkt,Bank / ATM,,
STRM_mission_rot_punkt,Delivery Point,,
STRM_mission_rot_fahne,Illegal Activities,,
STRM_mission_legende_copmarker,Cop-marker,,
STRD_bank_description_withdraw,Withdraw,,
